Tipo,Category,Question,File,Page,Extract
factual,Procedimiento,¿Cómo pueden las personas ciudadanas afiliarse al IMSS-Bienestar?,02012025-MAT.md,6,mediante la implementación de Unidades Médicas Móviles y Brigadas de Salud que permitan superar estas barreras y garantizar la atención sanitaria a todos los habitantes.
procedimiento,Requisitos,¿Qué documentos deben presentar los colindantes afectados por el deslinde de Fracción 8?,02012025-MAT.md,3,"comparezcan ante el suscrito para exponer lo que a su derecho convenga, así como para presentar la documentación que fundamente su dicho en copia certificada o en copia simple, acompañada del documento original para su cotejo, en términos de la fracción II del artículo 15-A de la Ley Federal de Procedimiento Administrativo."
comparativa,Instituciones,"¿Qué Secretarías publican convocatorias de concursos de adquisiciones, arrendamientos, obras y servicios del sector público?",02012025-MAT.md,1,Secretaría de Infraestructura
factual,Fechas,¿Cuál es la fecha límite para solicitar garantía de audiencia?,02012025-MAT.md,100,teniendo como fecha límite para solicitarla hasta el catorce de febrero de dos mil veintiséis.
procedimiento,Requisitos,¿Qué deben suscribir las personas auxiliares de las organizaciones?,02012025-MAT.md,100,deberán suscribir el Formato Único de Registro de Auxiliar que se presenta como **Anexo Siete** del presente Acuerdo.
factual,Fechas,¿En qué fecha se aprobó el Anteproyecto de Acuerdo por la CPPP?,02012025-MAT.md,104,la CPPP
factual,Fechas,"¿En qué mes del año posterior a la elección presidencial, las organizaciones interesadas informan su propósito al INE?",02012025-MAT.md,62,"La organización de ciudadanos que pretenda constituirse en partido político para obtener su registro ante el Instituto deberá, tratándose de partidos políticos nacionales, … informar tal propósito a la autoridad que corresponda en el mes de enero del año siguiente al de la elección de Presidente de los Estados Unidos Mexicanos, en el caso de registro nacional…"
procedimiento,Requisitos,¿Qué deben hacer las Secretarías de Hacienda y la Unidad Ejecutora respecto a la cuenta bancaria para recibir los recursos del Programa S200?,02012025-MAT.md,9,"Para tal efecto, LA ENTIDAD, a través de su Secretaría de Hacienda, procederá a abrir, en forma previa a su radicación, una cuenta bancaria productiva, única y específica para este Convenio, en la institución de crédito bancaria que determine, con la finalidad de que dichos recursos y sus rendimientos financieros estén debidamente identificados."
factual,Fechas,¿Cuál es la fecha límite para que las organizaciones soliciten la garantía de audiencia?,02012025-MAT.md,100,"las organizaciones podrán ejercer su garantía de audiencia, [...] teniendo como fecha límite para solicitarla hasta el catorce de febrero de dos mil veintiséis."
procedimiento,Requisitos,¿Qué formato deben suscribir las personas auxiliares para recabar afiliaciones para las organizaciones?,02012025-MAT.md,100,deberán suscribir el Formato Único de Registro de Auxiliar que se presenta como **Anexo Siete** del presente Acuerdo.
factual,Normatividad,¿Qué Anexos de la RMF para 2025 fueron publicados el 30 de diciembre de 2024?,03012025-MAT.md,1,"Anexos 3, 7, 14, 22 y 29 de la Resolución Miscelánea Fiscal para 2025, publicada el 30 de diciembre de 2024."
procedimiento,Normatividad,¿Qué deben hacer los contribuyentes una vez que se le haya incorporado el sello digital al CFDI?,03012025-MAT.md,7,"una vez que al CFDI se le haya incorporado el sello digital a que se refiere el párrafo anterior, los contribuyentes deberán entregar o poner a disposición de sus clientes el archivo electrónico del CFDI y, cuando les sea solicitada por los clientes, su representación impresa"
factual,Definición,¿Qué se considera saldo a favor según el DOF?,03012025-MAT.md,1,las señaladas como saldo a favor en las declaraciones presentadas por los contribuyentes.
factual,Normatividad,¿Qué artículo del CFF establece el concepto de calificación de hechos u omisiones?,03012025-MAT.md,1,El artículo 69-C
factual,Instituciones,"¿Cómo se llama la Asociación de Colonos ubicada en Arco Iris, Nicolás Romero?",03012025-MAT.md,1,Asociación de Colonos de Arco Iris Nicolas Romero A.C.
factual,Definición,¿Qué tipo de asociaciones se listan en este documento?,03012025-MAT.md,1,Asociación de Colonos de Arco Iris Nicolas Romero A.C.
factual,Instituciones,¿Cuál es el RFC de Patronato y Voluntariado del Hospital Pediátrico de Sinaloa A.C.?,03012025-MAT.md,300,PVH180417F30
inferencial,Definición,"Si una organización tiene 'I.A.P.' en su nombre, ¿qué tipo de institución es?",03012025-MAT.md,301,Por Tu Salud y Nutrición I.A.P.
factual,Instituciones,¿Cuál es el nombre de la asociación con el RFC AAC150310GH5?,03012025-MAT.md,400,AAC150310GH5 | Acapso Agrupación Cívica de Adolescentes y Personas<br>Socialmente Opacadas A.C.
factual,Category,¿Qué tipo de actividad realiza la asociación con el RFC ACS610310B97?,03012025-MAT.md,400,Acción Cultural y Social de Monterrey A.C.
factual,Horarios,¿Cuál es el horario de importación y exportación de la aduana de Aguascalientes?,06012025-MAT.md,4,Importación y Exportación. De lunes a viernes de 9:00 a 21:00<br>horas.
factual,Criterios Normativos,¿Qué artículo de la Ley establece la base gravable del IGI?,06012025-MAT.md,11,El artículo 64 de la Ley establece que la base gravable del IGI es el valor en aduana de las mercancías
